INFO:root:Start simulation
INFO:root:Start simulation
INFO:root:Start simulation
INFO:root:Start simulation
INFO:root:> Time step 59, take action 3, instance reward 0.0, cumulative reward 0.0, used 3.310798419872299 seconds
INFO:root:> Time step 60, take action 1, instance reward 0.0, cumulative reward 0.0, used 3.373390167951584 seconds
INFO:root:> Time step 61, take action 3, instance reward 0.0, cumulative reward 0.0, used 3.2942355580162257 seconds
INFO:root:> Time step 62, take action 1, instance reward 0.0, cumulative reward 0.0, used 3.245867206947878 seconds
INFO:root:> Time step 63, take action 2, instance reward 0.0, cumulative reward 0.0, used 3.3099422978702933 seconds
INFO:root:> Time step 64, take action 3, instance reward 0.0, cumulative reward 0.0, used 3.3239436589647084 seconds
INFO:root:> Time step 65, take action 5, instance reward 0.0, cumulative reward 0.0, used 3.3537782640196383 seconds
INFO:root:> Time step 66, take action 0, instance reward 0.0, cumulative reward 0.0, used 3.5101946918293834 seconds
INFO:root:> Time step 67, take action 0, instance reward 0.0, cumulative reward 0.0, used 3.3550466971937567 seconds
INFO:root:> Time step 68, take action 2, instance reward 0.0, cumulative reward 0.0, used 3.3775179099757224 seconds
INFO:root:> Time step 69, take action 3, instance reward 0.0, cumulative reward 0.0, used 3.335157109890133 seconds
INFO:root:> Time step 70, take action 1, instance reward 0.0, cumulative reward 0.0, used 3.3285111458972096 seconds
INFO:root:> Time step 71, take action 4, instance reward 0.0, cumulative reward 0.0, used 3.386697375914082 seconds
INFO:root:> Time step 72, take action 1, instance reward 0.0, cumulative reward 0.0, used 3.2936668230686337 seconds
INFO:root:> Time step 73, take action 0, instance reward 0.0, cumulative reward 0.0, used 3.4085444000083953 seconds
INFO:root:> Time step 74, take action 0, instance reward 0.0, cumulative reward 0.0, used 3.3830049210228026 seconds
INFO:root:> Time step 75, take action 0, instance reward 0.0, cumulative reward 0.0, used 3.246739652939141 seconds
INFO:root:> Time step 76, take action 0, instance reward 0.0, cumulative reward 0.0, used 3.2711994550190866 seconds
INFO:root:> Time step 77, take action 0, instance reward 0.0, cumulative reward 0.0, used 3.274671921040863 seconds
INFO:root:> Time step 78, take action 5, instance reward 0.0, cumulative reward 0.0, used 3.4047194221056998 seconds
INFO:root:> Time step 79, take action 1, instance reward 0.0, cumulative reward 0.0, used 3.4058586028404534 seconds
INFO:root:> Time step 80, take action 5, instance reward 0.0, cumulative reward 0.0, used 3.3208968020044267 seconds
INFO:root:> Time step 81, take action 1, instance reward 0.0, cumulative reward 0.0, used 3.4096003300510347 seconds
INFO:root:> Time step 82, take action 2, instance reward 0.0, cumulative reward 0.0, used 3.4196007209829986 seconds
INFO:root:> Time step 83, take action 5, instance reward 0.0, cumulative reward 0.0, used 3.214900487102568 seconds
INFO:root:> Time step 84, take action 2, instance reward 0.0, cumulative reward 0.0, used 3.3691483149304986 seconds
INFO:root:> Time step 85, take action 1, instance reward 0.0, cumulative reward 0.0, used 3.344327332917601 seconds
INFO:root:> Time step 86, take action 4, instance reward 0.0, cumulative reward 0.0, used 3.314230137038976 seconds
INFO:root:> Time step 87, take action 1, instance reward 1.0, cumulative reward 1.0, used 3.2523463529068977 seconds
INFO:root:> Time step 88, take action 2, instance reward 0.0, cumulative reward 1.0, used 3.477676851907745 seconds
INFO:root:> Time step 89, take action 3, instance reward 0.0, cumulative reward 1.0, used 3.390286331064999 seconds
INFO:root:> Time step 90, take action 1, instance reward 0.0, cumulative reward 1.0, used 3.2570372589398175 seconds
INFO:root:> Time step 91, take action 2, instance reward 0.0, cumulative reward 1.0, used 3.304359511937946 seconds
INFO:root:> Time step 92, take action 5, instance reward 0.0, cumulative reward 1.0, used 3.417175091104582 seconds
INFO:root:> Time step 93, take action 5, instance reward 0.0, cumulative reward 1.0, used 3.389535508817062 seconds
INFO:root:> Time step 94, take action 2, instance reward 0.0, cumulative reward 1.0, used 3.3140512029640377 seconds
INFO:root:> Time step 95, take action 3, instance reward 0.0, cumulative reward 1.0, used 3.33395515778102 seconds
INFO:root:> Time step 96, take action 5, instance reward 0.0, cumulative reward 1.0, used 3.4001989241223782 seconds
INFO:root:> Time step 97, take action 5, instance reward 0.0, cumulative reward 1.0, used 3.3810993060469627 seconds
INFO:root:> Time step 98, take action 1, instance reward 0.0, cumulative reward 1.0, used 3.405227395007387 seconds
INFO:root:> Time step 99, take action 5, instance reward 0.0, cumulative reward 1.0, used 3.3232062419410795 seconds
INFO:root:> Time step 100, take action 5, instance reward 0.0, cumulative reward 1.0, used 3.3444677549414337 seconds
INFO:root:> Time step 101, take action 0, instance reward 0.0, cumulative reward 1.0, used 3.441509267082438 seconds
INFO:root:> Time step 102, take action 0, instance reward 0.0, cumulative reward 1.0, used 3.253622434101999 seconds
INFO:root:> Time step 103, take action 0, instance reward 0.0, cumulative reward 1.0, used 3.329884668113664 seconds
INFO:root:> Time step 104, take action 3, instance reward 0.0, cumulative reward 1.0, used 3.351271130144596 seconds
INFO:root:> Time step 105, take action 1, instance reward 0.0, cumulative reward 1.0, used 3.4399982071481645 seconds
INFO:root:> Time step 106, take action 3, instance reward 0.0, cumulative reward 1.0, used 3.4186394580174237 seconds
INFO:root:> Time step 107, take action 3, instance reward 0.0, cumulative reward 1.0, used 3.370976611971855 seconds
INFO:root:> Time step 108, take action 0, instance reward 0.0, cumulative reward 1.0, used 3.3050092831254005 seconds
INFO:root:> Time step 109, take action 5, instance reward 0.0, cumulative reward 1.0, used 3.341130581917241 seconds
INFO:root:> Time step 110, take action 0, instance reward 0.0, cumulative reward 1.0, used 3.464223738061264 seconds
INFO:root:> Time step 111, take action 0, instance reward 0.0, cumulative reward 1.0, used 3.2947448280174285 seconds
INFO:root:> Time step 112, take action 4, instance reward 0.0, cumulative reward 1.0, used 3.382038396783173 seconds
INFO:root:> Time step 113, take action 0, instance reward 0.0, cumulative reward 1.0, used 3.3539770680945367 seconds
INFO:root:> Time step 114, take action 5, instance reward 0.0, cumulative reward 1.0, used 3.4586385029833764 seconds
INFO:root:> Time step 115, take action 3, instance reward 0.0, cumulative reward 1.0, used 3.349306690040976 seconds
INFO:root:> Time step 116, take action 0, instance reward 0.0, cumulative reward 1.0, used 3.374563046032563 seconds
INFO:root:> Time step 117, take action 4, instance reward 0.0, cumulative reward 1.0, used 3.333438280969858 seconds
INFO:root:> Time step 118, take action 1, instance reward 0.0, cumulative reward 1.0, used 3.3029823899269104 seconds
INFO:root:> Time step 119, take action 0, instance reward 0.0, cumulative reward 1.0, used 3.402965954039246 seconds
INFO:root:> Time step 120, take action 2, instance reward 0.0, cumulative reward 1.0, used 3.3548405240289867 seconds
INFO:root:> Time step 121, take action 1, instance reward 0.0, cumulative reward 1.0, used 3.2439346781466156 seconds
INFO:root:> Time step 122, take action 0, instance reward 0.0, cumulative reward 1.0, used 3.3702448019757867 seconds
INFO:root:> Time step 123, take action 5, instance reward 0.0, cumulative reward 1.0, used 3.3162181060761213 seconds
INFO:root:> Time step 124, take action 0, instance reward 0.0, cumulative reward 1.0, used 3.251505152788013 seconds
INFO:root:> Time step 125, take action 3, instance reward 0.0, cumulative reward 1.0, used 3.3379015021491796 seconds
INFO:root:> Time step 126, take action 3, instance reward 0.0, cumulative reward 1.0, used 3.326830395963043 seconds
INFO:root:> Time step 127, take action 3, instance reward 0.0, cumulative reward 1.0, used 3.377988863037899 seconds
INFO:root:> Time step 128, take action 1, instance reward 0.0, cumulative reward 1.0, used 3.308401859831065 seconds
INFO:root:> Time step 129, take action 4, instance reward 0.0, cumulative reward 1.0, used 3.3283705511130393 seconds
INFO:root:> Time step 130, take action 3, instance reward 0.0, cumulative reward 1.0, used 3.253003266174346 seconds
INFO:root:> Time step 131, take action 4, instance reward 0.0, cumulative reward 1.0, used 3.392425117082894 seconds
INFO:root:> Time step 132, take action 4, instance reward 0.0, cumulative reward 1.0, used 3.421769133070484 seconds
INFO:root:> Time step 133, take action 5, instance reward 0.0, cumulative reward 1.0, used 3.42505775205791 seconds
